filename,path,ra,dec,shape_y,shape_x,pixel_scale_arcsec,cutout_size_arcsec_y,cutout_size_arcsec_x,sky_level,p99_flux,status,reason,std_norm,peak_norm,edge_abs_mean,finite_fraction
0028_150.278332_2.009032_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0028_150.278332_2.009032_acs_I_mosaic_30mas_sci.fits,150.278332,2.009032,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00027672306168824434,0.013788768090307713,accept,passed_basic_qa,0.26204565167427063,3.010892391204834,0.16177943348884583,1.0
0029_149.838659_2.235745_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0029_149.838659_2.235745_acs_I_mosaic_30mas_sci.fits,149.838659,2.235745,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0006992793059907854,0.028462756425142288,accept,passed_basic_qa,0.22715029120445251,2.537649393081665,0.10635698586702347,1.0
0030_150.299291_2.090108_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0030_150.299291_2.090108_acs_I_mosaic_30mas_sci.fits,150.299291,2.090108,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00010123485117219388,0.009502271190285683,accept,passed_basic_qa,0.31860101222991943,3.0214202404022217,0.22196610271930695,1.0
0031_150.129153_2.16435_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0031_150.129153_2.16435_acs_I_mosaic_30mas_sci.fits,150.129153,2.16435,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00016728861373849213,0.011876021511852741,accept,passed_basic_qa,0.3864416182041168,5.0,0.2320493906736374,1.0
0032_150.419712_2.192816_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0032_150.419712_2.192816_acs_I_mosaic_30mas_sci.fits,150.419712,2.192816,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0011245462810620666,0.016949743032455444,accept,passed_basic_qa,0.25657421350479126,2.616647720336914,0.1390402615070343,1.0
0033_150.101739_2.221971_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0033_150.101739_2.221971_acs_I_mosaic_30mas_sci.fits,150.101739,2.221971,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0002804276009555906,0.016658809036016464,accept,passed_basic_qa,0.31097909808158875,2.932816982269287,0.20499533414840698,1.0
0034_150.154826_1.91621_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0034_150.154826_1.91621_acs_I_mosaic_30mas_sci.fits,150.154826,1.91621,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0002394345065113157,0.009446576237678528,accept,passed_basic_qa,0.34703537821769714,4.8865251541137695,0.2238093763589859,1.0
0035_149.894225_2.126668_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0035_149.894225_2.126668_acs_I_mosaic_30mas_sci.fits,149.894225,2.126668,168,168,0.029999998800000004,5.0399997984,5.0399997984,3.846560139209032e-05,0.007968045771121979,accept,passed_basic_qa,0.3743162155151367,2.4439890384674072,0.2856564223766327,1.0
0036_149.802468_2.034699_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0036_149.802468_2.034699_acs_I_mosaic_30mas_sci.fits,149.802468,2.034699,168,168,0.029999998800000004,5.0399997984,5.0399997984,-8.655696001369506e-05,0.006444408558309078,accept,passed_basic_qa,0.4028368294239044,2.1629202365875244,0.3222459852695465,1.0
0037_150.23656_2.078805_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0037_150.23656_2.078805_acs_I_mosaic_30mas_sci.fits,150.23656,2.078805,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00033007602905854583,0.008327703922986984,accept,passed_basic_qa,0.359212189912796,3.2078564167022705,0.24282701313495636,1.0
0038_149.749634_2.310984_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0038_149.749634_2.310984_acs_I_mosaic_30mas_sci.fits,149.749634,2.310984,168,168,0.029999998800000004,5.0399997984,5.0399997984,-7.365085912169889e-05,0.006672865245491266,accept,passed_basic_qa,0.395212858915329,1.9197155237197876,0.31851187348365784,1.0
0039_149.849371_2.433017_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0039_149.849371_2.433017_acs_I_mosaic_30mas_sci.fits,149.849371,2.433017,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00029569503385573626,0.008906015194952488,accept,passed_basic_qa,0.3638041913509369,3.5954017639160156,0.2603161334991455,1.0
0040_150.438792_2.306412_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0040_150.438792_2.306412_acs_I_mosaic_30mas_sci.fits,150.438792,2.306412,168,168,0.029999998800000004,5.0399997984,5.0399997984,-5.086093733552843e-05,0.005783767439424992,accept,passed_basic_qa,0.37588852643966675,4.290627479553223,0.3118102252483368,1.0
0041_150.290534_2.041432_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0041_150.290534_2.041432_acs_I_mosaic_30mas_sci.fits,150.290534,2.041432,168,168,0.029999998800000004,5.0399997984,5.0399997984,1.9967890693806112e-05,0.00647397618740797,accept,passed_basic_qa,0.3664025068283081,3.362868309020996,0.2702856957912445,1.0
0042_150.349771_2.524731_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0042_150.349771_2.524731_acs_I_mosaic_30mas_sci.fits,150.349771,2.524731,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0004171480250079185,0.008607896976172924,accept,passed_basic_qa,0.37306028604507446,2.903153419494629,0.274432897567749,1.0
0043_150.108577_2.53171_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0043_150.108577_2.53171_acs_I_mosaic_30mas_sci.fits,150.108577,2.53171,168,168,0.029999998800000004,5.0399997984,5.0399997984,-0.00010892469435930252,0.006475630681961775,accept,passed_basic_qa,0.4090781807899475,1.9520230293273926,0.312102735042572,1.0
0044_150.092494_2.353066_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0044_150.092494_2.353066_acs_I_mosaic_30mas_sci.fits,150.092494,2.353066,168,168,0.029999998800000004,5.0399997984,5.0399997984,-0.00022441506735049188,0.007400573696941137,accept,passed_basic_qa,0.4041517972946167,3.1106226444244385,0.30913957953453064,1.0
0045_150.143014_2.219132_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0045_150.143014_2.219132_acs_I_mosaic_30mas_sci.fits,150.143014,2.219132,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0017363515216857195,0.7572821378707886,accept,passed_basic_qa,0.3614715337753296,5.0,0.13728336989879608,1.0
0046_149.791015_2.333071_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0046_149.791015_2.333071_acs_I_mosaic_30mas_sci.fits,149.791015,2.333071,168,168,0.029999998800000004,5.0399997984,5.0399997984,1.771745883161202e-05,0.0059219840914011,accept,passed_basic_qa,0.37751996517181396,3.052487850189209,0.2873328626155853,1.0
0047_150.062815_2.100594_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0047_150.062815_2.100594_acs_I_mosaic_30mas_sci.fits,150.062815,2.100594,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0006671175360679626,0.01044334564357996,accept,passed_basic_qa,0.3135857582092285,2.0475716590881348,0.3022751212120056,1.0
0048_150.030713_2.305751_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0048_150.030713_2.305751_acs_I_mosaic_30mas_sci.fits,150.030713,2.305751,168,168,0.029999998800000004,5.0399997984,5.0399997984,-3.271493187639862e-05,0.009298162534832954,accept,passed_basic_qa,0.41271543502807617,1.963637351989746,0.3212050497531891,1.0
0049_149.899692_2.487445_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0049_149.899692_2.487445_acs_I_mosaic_30mas_sci.fits,149.899692,2.487445,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0005259555764496326,0.022618547081947327,accept,passed_basic_qa,0.3026372790336609,5.0,0.08062879741191864,1.0
0050_149.913459_2.404575_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0050_149.913459_2.404575_acs_I_mosaic_30mas_sci.fits,149.913459,2.404575,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0011464327108114958,0.014671189710497856,accept,passed_basic_qa,0.31314539909362793,5.0,0.22407440841197968,1.0
